nr, area, centx, centy, pix0, pix1, pix2, pix3, pix4, pix5
0, 0.05555555555555555, 0.037037037037037035, 0.37037037037037035, 0, 0, 0, 0, 0, 0
1, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 0, 0, 0, 0, 0, 1
2, 0.02083333333333333, 0.09722222222222224, 0.4305555555555557, 0, 0, 0, 0, 1, 0
3, 0.055555555555555566, 0.12962962962962965, 0.5462962962962963, 0, 0, 0, 1, 0, 0
4, 0.011111111111111113, 0.2101851851851854, 0.4268518518518521, 0, 0, 0, 1, 0, 1
5, 0.01666666666666667, 0.26111111111111107, 0.39444444444444443, 0, 0, 0, 1, 1, 0
6, 0.024999999999999994, 0.24259259259259244, 0.6166666666666668, 0, 0, 1, 0, 1, 0
7, 0.004761904761904759, 0.1698412698412699, 0.7357142857142853, 0, 0, 1, 0, 0, 1
8, 0.011904761904761897, 0.10317460317460317, 0.8412698412698417, 0, 0, 1, 0, 0, 0
9, 0.005952380952380945, 0.2896825396825402, 0.5992063492063497, 0, 0, 1, 1, 0, 0
10, 0.014880952380952384, 0.33134920634920617, 0.5186507936507938, 0, 0, 1, 1, 0, 1
11, 0.01686507936507939, 0.38986150015561766, 0.5159119203236847, 0, 0, 1, 1, 1, 0
12, 0.003968253968253968, 0.4576719576719581, 0.5052910052910057, 0, 0, 1, 1, 1, 1
13, 0.019642857142857142, 0.43149350649350665, 0.735930735930736, 0, 1, 0, 1, 1, 1
14, 0.03273809523809523, 0.3573232323232324, 0.810966810966811, 0, 1, 0, 1, 1, 0
15, 0.01190476190476189, 0.28968253968253965, 0.8412698412698418, 0, 1, 0, 1, 0, 1
16, 0.010714285714285718, 0.24523809523809517, 0.8769841269841269, 0, 1, 0, 1, 0, 0
17, 0.0071428571428571175, 0.4428571428571433, 0.8333333333333346, 0, 1, 0, 2, 0, 1
18, 0.03174603174603177, 0.49470899470899443, 0.7685185185185184, 0, 1, 0, 2, 1, 0
19, 0.023611111111111138, 0.5641067538126364, 0.7484204793028325, 0, 1, 0, 2, 1, 1
20, 0.00416666666666668, 0.6305555555555544, 0.6972222222222213, 0, 1, 0, 2, 2, 0
21, 0.013095238095238097, 0.1925685425685426, 0.8914141414141413, 0, 1, 0, 0, 1, 0
22, 0.0029761904761904795, 0.14484126984126977, 0.9206349206349201, 0, 1, 0, 0, 0, 1
23, 0.008928571428571425, 0.08928571428571426, 0.952380952380952, 0, 1, 0, 0, 0, 0
24, 0.00952380952380949, 0.6126984126984126, 0.8555555555555563, 0, 1, 1, 1, 2, 0
25, 0.0071428571428571175, 0.5571428571428554, 0.9333333333333323, 0, 1, 1, 1, 1, 1
26, 0.00416666666666668, 0.6305555555555544, 0.8888888888888874, 0, 1, 1, 2, 1, 0
27, 0.0267857142857143, 0.6871693121693123, 0.8518518518518517, 0, 1, 1, 2, 1, 1
28, 0.007936507936507908, 0.7473544973544974, 0.8842592592592602, 0, 1, 1, 2, 2, 0
29, 0.011111111111111127, 0.7898148148148145, 0.8981481481481488, 0, 1, 1, 2, 2, 1
30, 0.007738095238095211, 0.8397741147741166, 0.9284188034188035, 0, 1, 1, 3, 1, 1
31, 0.0019841269841270326, 0.8736772486772406, 0.942129629629623, 0, 1, 1, 3, 2, 0
32, 0.00694444444444442, 0.9212962962962973, 0.962962962962964, 0, 1, 1, 3, 2, 1
33, 0.006944444444444444, 0.0787037037037037, 0.037037037037037035, 1, 0, 0, 0, 0, 0
34, 0.001984126984126984, 0.12632275132275128, 0.05787037037037037, 1, 0, 0, 0, 0, 1
35, 0.007738095238095238, 0.16022588522588524, 0.07158119658119656, 1, 0, 0, 0, 1, 0
36, 0.01111111111111111, 0.2101851851851852, 0.10185185185185187, 1, 0, 0, 1, 0, 0
37, 0.007936507936507936, 0.25264550264550256, 0.11574074074074074, 1, 0, 0, 1, 0, 1
38, 0.026785714285714288, 0.3128306878306878, 0.14814814814814814, 1, 0, 0, 1, 1, 0
39, 0.004166666666666666, 0.3694444444444451, 0.11111111111111102, 1, 0, 0, 1, 1, 1
40, 0.009523809523809532, 0.3873015873015869, 0.1444444444444445, 1, 0, 0, 2, 0, 1
41, 0.007142857142857152, 0.44285714285714306, 0.06666666666666674, 1, 0, 0, 2, 1, 0
42, 0.023611111111111083, 0.43589324618736386, 0.2515795206971678, 1, 0, 1, 1, 1, 0
43, 0.031746031746031744, 0.5052910052910051, 0.23148148148148148, 1, 0, 1, 1, 1, 1
44, 0.007142857142857145, 0.5571428571428585, 0.16666666666666666, 1, 0, 1, 1, 2, 0
45, 0.004166666666666673, 0.3694444444444442, 0.30277777777777776, 1, 0, 1, 1, 0, 1
46, 0.019642857142857156, 0.5685064935064934, 0.264069264069264, 1, 0, 1, 2, 1, 0
47, 0.03273809523809523, 0.6426767676767675, 0.18903318903318883, 1, 0, 1, 2, 1, 1
48, 0.011904761904761932, 0.7103174603174611, 0.1587301587301592, 1, 0, 1, 2, 2, 0
49, 0.010714285714285718, 0.7547619047619045, 0.12301587301587305, 1, 0, 1, 2, 2, 1
50, 0.013095238095238063, 0.807431457431457, 0.10858585858585847, 1, 0, 1, 3, 1, 1
51, 0.0029761904761904795, 0.8551587301587321, 0.0793650793650793, 1, 0, 1, 3, 2, 0
52, 0.008928571428571452, 0.910714285714286, 0.04761904761904774, 1, 0, 1, 3, 2, 1
53, 0.011904761904761932, 0.8968253968253969, 0.15873015873015914, 1, 1, 0, 3, 2, 1
54, 0.004761904761904773, 0.8301587301587332, 0.2642857142857144, 1, 1, 0, 3, 2, 0
55, 0.025000000000000036, 0.757407407407408, 0.3833333333333332, 1, 1, 0, 3, 1, 1
56, 0.005952380952380931, 0.7103174603174599, 0.4007936507936528, 1, 1, 0, 2, 2, 1
57, 0.014880952380952411, 0.6686507936507932, 0.48134920634920564, 1, 1, 0, 2, 2, 0
58, 0.01686507936507936, 0.6101384998443818, 0.48408807967631473, 1, 1, 0, 2, 1, 1
